district,sous_district,commune,num_ofs,population
Lausanne,Romanel,Jouxtens-Mézery,5585,1455
Lausanne,Lausanne-Ville,Lausanne,5586,145707
Lausanne,Romanel,Le Mont-sur-Lausanne,5587,9785
Lausanne,Romanel,Romanel-sur-Lausanne,5592,4331
Lavaux-Oron,NA,Belmont-sur-Lausanne,5581,3891
Lavaux-Oron,NA,Bourg-en-Lavaux,5613,5558
Lavaux-Oron,NA,Chexbres,5601,2272
Lavaux-Oron,NA,Forel (Lavaux),5604,2113
Lavaux-Oron,NA,Jorat-Mézières,5806,3209
Lavaux-Oron,NA,Lutry,5606,10843
Lavaux-Oron,NA,Maracon,5790,565
Lavaux-Oron,NA,Montpreveyres,5792,670
Lavaux-Oron,NA,Oron,5805,6451
Lavaux-Oron,NA,Paudex,5588,1483
Lavaux-Oron,NA,Puidoux,5607,3014
Lavaux-Oron,NA,Pully,5590,19550
Lavaux-Oron,NA,Rivaz,5609,330
Lavaux-Oron,NA,St-Saphorin (Lavaux),5610,393
Lavaux-Oron,NA,Savigny,5611,3598
Lavaux-Oron,NA,Servion,5799,2241
Morges,NA,Aclens,5621,609
Morges,NA,Allaman,5851,412
Morges,NA,Aubonne,5422,3896
Morges,NA,Ballens,5423,580
Morges,NA,Berolle,5424,300
Morges,NA,Bière,5425,1701
Morges,NA,Bougy-Villars,5426,493
Morges,NA,Bremblens,5622,596
Morges,NA,Buchillon,5623,682
Morges,NA,La Chaux (Cossonay),5474,421
Morges,NA,Chavannes-le-Veyron,5475,160
Morges,NA,Chevilly,5476,345
Morges,NA,Chigny,5628,410
Morges,NA,Clarmont,5629,232
Morges,NA,Cossonay,5477,4974
Morges,NA,Cuarnens,5479,557
Morges,NA,Denens,5631,748
Morges,NA,Denges,5632,1844
Morges,NA,Dizy,5481,239
Morges,NA,Echandens,5633,3116
Morges,NA,Echichens,5634,3241
Morges,NA,Eclépens,5482,1202
Morges,NA,Etoy,5636,3013
Morges,NA,Féchy,5427,906
Morges,NA,Ferreyres,5483,308
Morges,NA,Gimel,5428,2453
Morges,NA,Gollion,5484,1091
Morges,NA,Grancy,5485,541
Morges,NA,Hautemorges,5656,4426
Morges,NA,L'Isle,5486,1106
Morges,NA,Lavigny,5637,1108
Morges,NA,Lonay,5638,2719
Morges,NA,Lully,5639,824
Morges,NA,Lussy-sur-Morges,5640,721
Morges,NA,Mauraz,5488,74
Morges,NA,Moiry,5490,295
Morges,NA,Mollens,5431,320
Morges,NA,Mont-la-Ville,5491,504
Morges,NA,Montricher,5492,947
Morges,NA,Morges,5642,17813
Morges,NA,Orny,5493,525
Morges,NA,Pompaples,5497,917
Morges,NA,Préverenges,5643,5236
Morges,NA,Romanel-sur-Morges,5645,462
Morges,NA,Saint-Livres,5435,708
Morges,NA,Saint-Oyens,5436,449
Morges,NA,Saint-Prex,5646,5922
Morges,NA,La Sarraz,5498,2609
Morges,NA,Saubraz,5437,441
Morges,NA,Senarclens,5499,505
Morges,NA,Tolochenaz,5649,1928
Morges,NA,Vaux-sur-Morges,5650,185
Morges,NA,Villars-sous-Yens,5652,603
Morges,NA,Vufflens-le-Château,5653,887
Morges,NA,Vullierens,5654,577
Morges,NA,Yens,5655,1481
Nyon,NA,Arnex-sur-Nyon,5701,274
Nyon,NA,Arzier-Le Muids,5702,2999
Nyon,NA,Bassins,5703,1468
Nyon,NA,Begnins,5704,2047
Nyon,NA,Bogis-Bossey,5705,961
Nyon,NA,Borex,5706,1168
Nyon,NA,Bursinel,5852,535
Nyon,NA,Bursins,5853,831
Nyon,NA,Burtigny,5854,406
Nyon,NA,Chavannes-de-Bogis,5707,1423
Nyon,NA,Chavannes-des-Bois,5708,983
Nyon,NA,Chéserex,5709,1272
Nyon,NA,Coinsins,5710,510
Nyon,NA,Commugny,5711,2968
Nyon,NA,Coppet,5712,3233
Nyon,NA,Crans,5713,2483
Nyon,NA,Crassier,5714,1272
Nyon,NA,Duillier,5715,1120
Nyon,NA,Dully,5855,637
Nyon,NA,Essertines-sur-Rolle,5856,770
Nyon,NA,Eysins,5716,1811
Nyon,NA,Founex,5717,3737
Nyon,NA,Genolier,5718,2071
Nyon,NA,Gilly,5857,1429
Nyon,NA,Gingins,5719,1241
Nyon,NA,Givrins,5720,1096
Nyon,NA,Gland,5721,13978
Nyon,NA,Grens,5722,413
Nyon,NA,Longirod,5429,558
Nyon,NA,Luins,5858,640
Nyon,NA,Marchissy,5430,492
Nyon,NA,Mies,5723,2194
Nyon,NA,Mont-sur-Rolle,5859,2759
Nyon,NA,Nyon,5724,23732
Nyon,NA,Perroy,5860,1573
Nyon,NA,Prangins,5725,4243
Nyon,NA,La Rippe,5726,1218
Nyon,NA,Rolle,5861,6604
Nyon,NA,Saint-Cergue,5727,3057
Nyon,NA,Saint-George,5434,1082
Nyon,NA,Signy-Avenex,5728,586
Nyon,NA,Tannay,5729,1732
Nyon,NA,Tartegnin,5862,246
Nyon,NA,Trélex,5730,1427
Nyon,NA,Le Vaud,5731,1374
Nyon,NA,Vich,5732,1174
Nyon,NA,Vinzel,5863,385
Ouest lausannois,NA,Bussigny,5624,12138
Ouest lausannois,NA,Chavannes-près-Renens,5627,10735
Ouest lausannois,NA,Crissier,5583,11116
Ouest lausannois,NA,Ecublens,5635,13758
Ouest lausannois,NA,Prilly,5589,13069
Ouest lausannois,NA,Renens,5591,21827
Ouest lausannois,NA,Saint-Sulpice,5648,5193
Ouest lausannois,NA,Villars-Sainte-Croix,5651,943
Riviera-Pays-d'Enhaut,Vevey,Blonay - Saint-Légier,5892,12597
Riviera-Pays-d'Enhaut,Vevey,Chardonne,5882,3384
Riviera-Pays-d'Enhaut,Pays-d'Enhaut,Château-d'Oex,5841,3689
Riviera-Pays-d'Enhaut,Vevey,Corseaux,5883,2326
Riviera-Pays-d'Enhaut,Vevey,Corsier-sur-Vevey,5884,3458
Riviera-Pays-d'Enhaut,Vevey,Jongny,5885,1917
Riviera-Pays-d'Enhaut,Vevey,Montreux,5886,27166
Riviera-Pays-d'Enhaut,Pays-d'Enhaut,Rossinière,5842,504
Riviera-Pays-d'Enhaut,Pays-d'Enhaut,Rougemont,5843,805
Riviera-Pays-d'Enhaut,Vevey,La Tour-de-Peilz,5889,13053
Riviera-Pays-d'Enhaut,Vevey,Vevey,5890,20179
Riviera-Pays-d'Enhaut,Vevey,Veytaux,5891,1008
