Communes,code_ofs,district_electoral,liste_eag_2022,statut_comparaison,bulletins_2022,voix_eag_2022,part_eag_2022,bulletins_2026,voix_raboud_2026,part_raboud_2026,diff_part,ratio_part,voix_raboud_base_2022,diff_voix,effet_participation,effet_performance,dim1,particip_moy
Mauborget,5562,Yverdon,TRUE,recul,49,4,0.08163265306122448,73,3,0.0410958904109589,-0.04053676265026558,0.5034246575342466,2.0136986301369864,-1,0.9863013698630136,-1.9863013698630134,-1.6024593540309064,0.6613558263042799
Molondin,5921,Yverdon,TRUE,progression,64,1,0.015625,104,3,0.028846153846153848,0.013221153846153848,1.8461538461538463,1.8461538461538463,2,1.153846153846154,0.8461538461538463,-1.8121233064837672,0.5095867513556556
Montagny-près-Yverdon,5922,Yverdon,TRUE,stable,154,8,0.05194805194805195,264,14,0.05303030303030303,0.0010822510822510803,1.0208333333333333,8.166666666666666,6,5.833333333333334,0.16666666666666635,-0.23600220339256744,0.460977954145188
Montcherand,5756,Yverdon,TRUE,stable,120,10,0.08333333333333333,212,16,0.07547169811320754,-0.007861635220125784,0.9056603773584906,9.056603773584905,6,6.943396226415094,-0.9433962264150941,-0.12632337729213067,0.5235887671491058
Mutrux,5563,Yverdon,TRUE,recul,40,2,0.05,54,1,0.018518518518518517,-0.031481481481481485,0.37037037037037035,0.7407407407407407,-1,0.25925925925925924,-1.2592592592592595,-0.7549312356762443,0.39771017720727586
Novalles,5564,Yverdon,TRUE,progression,33,0,0,60,3,0.05,0.05,NA,1.6500000000000001,3,1.35,1.6500000000000001,-0.2961519024065109,0.6320315530841846
Onnens VD,5565,Yverdon,TRUE,progression,110,3,0.02727272727272727,206,14,0.06796116504854369,0.04068843777581642,2.4919093851132685,7.475728155339805,11,6.524271844660194,4.475728155339806,0.6253506449161635,0.5316769929283446
Orbe,5757,Yverdon,TRUE,progression,1019,56,0.0549558390578999,1825,127,0.06958904109589041,0.014633202037990511,1.2662720156555773,70.91123287671233,71,56.088767123287674,14.911232876712331,1.4410758785796072,0.4469484766808982
Orges,5924,Yverdon,TRUE,progression,74,2,0.02702702702702703,153,9,0.058823529411764705,0.03179650238473768,2.176470588235294,4.352941176470588,7,4.647058823529412,2.352941176470588,0.25970060469692474,0.4823903548885016
Orzens,5925,Yverdon,TRUE,stable,70,8,0.11428571428571428,104,11,0.10576923076923077,-0.008516483516483514,0.9254807692307693,7.403846153846154,3,3.5961538461538463,-0.596153846153846,1.926161756431068,0.6550782972035344
Pomy,5926,Yverdon,TRUE,recul,221,19,0.08597285067873303,370,13,0.03513513513513514,-0.050837715543597894,0.4086770981507824,7.764864864864865,-6,5.235135135135136,-11.235135135135135,-1.8885772840174202,0.5453985070369309
Premier,5759,Yverdon,TRUE,recul,73,8,0.1095890410958904,125,12,0.096,-0.013589041095890403,0.8760000000000001,7.008,4,4.992,-0.9919999999999994,1.515278567004768,0.6276793122904842
Provence,5566,Yverdon,TRUE,recul,92,4,0.043478260869565216,154,4,0.025974025974025976,-0.01750423489553924,0.5974025974025975,2.38961038961039,0,1.6103896103896105,-1.61038961038961,-0.6011459029804198,0.45837431542271573
Rances,5760,Yverdon,TRUE,stable,150,9,0.06,225,12,0.05333333333333334,-0.006666666666666661,0.888888888888889,8,3,4,-0.9999999999999991,-0.47096439155893793,0.5698509859424441
Romainmôtier-Envy,5761,Yverdon,TRUE,progression,153,15,0.09803921568627451,239,33,0.13807531380753138,0.04003609812125687,1.4083682008368201,21.1255230125523,18,11.874476987447698,6.125523012552302,5.443144487202188,0.5372872360646982
Rovray,5928,Yverdon,TRUE,stable,71,1,0.014084507042253521,96,1,0.010416666666666666,-0.0036678403755868554,0.7395833333333333,0.7395833333333333,0,0.26041666666666663,-0.26041666666666674,-5.573322185386416,0.7092895740623013
Sainte-Croix,5568,Yverdon,TRUE,stable,1053,64,0.060778727445394115,1573,90,0.05721551176096631,-0.0035632156844278076,0.9413739669421487,60.247933884297524,26,29.75206611570248,-3.7520661157024815,1.0658052698920757,0.44383363230742423
Sergey,5762,Yverdon,TRUE,recul,42,5,0.11904761904761904,77,2,0.025974025974025976,-0.09307359307359306,0.2181818181818182,1.090909090909091,-3,0.9090909090909092,-3.9090909090909083,-0.8627828832531313,0.5591963645060991
Suchy,5929,Yverdon,TRUE,progression,145,5,0.034482758620689655,266,15,0.05639097744360902,0.021908218822919365,1.6353383458646615,8.176691729323307,10,6.823308270676692,3.176691729323308,-1.6404977730524462,0.5354599342061068
Suscévaz,5930,Yverdon,TRUE,stable,58,1,0.017241379310344827,87,1,0.011494252873563218,-0.005747126436781609,0.6666666666666666,0.6666666666666666,0,0.3333333333333333,-0.3333333333333333,-1.6599752168295743,0.671739663844927
Treycovagnes,5931,Yverdon,TRUE,progression,83,4,0.04819277108433735,162,11,0.06790123456790123,0.01970846348356388,1.4089506172839505,5.635802469135802,7,5.364197530864197,1.635802469135802,0.1532056466053004,0.4721446428214162
Tévenon,5571,Yverdon,TRUE,recul,179,17,0.09497206703910614,342,26,0.07602339181286549,-0.01894867522624065,0.8004815961472308,13.608187134502923,9,12.391812865497075,-3.391812865497076,1.8167563743188533,0.5695433307930041
Ursins,5932,Yverdon,TRUE,recul,53,2,0.03773584905660377,117,2,0.017094017094017096,-0.020641831962586676,0.45299145299145305,0.9059829059829061,0,1.0940170940170941,-1.094017094017094,-5.87108682153918,0.5822610280903964
Valeyres-sous-Montagny,5933,Yverdon,TRUE,recul,169,11,0.0650887573964497,231,10,0.04329004329004329,-0.021798714106406415,0.6650924832743015,7.316017316017316,-1,2.6839826839826837,-3.683982683982684,1.8696426345342687,0.46115861197198066
Valeyres-sous-Rances,5763,Yverdon,TRUE,progression,148,8,0.05405405405405406,230,24,0.10434782608695652,0.05029377203290246,1.9304347826086954,15.443478260869565,16,8.556521739130435,7.443478260869564,-1.3167186538900992,0.5525598660537313
Valeyres-sous-Ursins,5934,Yverdon,TRUE,recul,94,11,0.11702127659574468,134,12,0.08955223880597014,-0.02746903778977454,0.7652645861601085,8.417910447761194,1,3.5820895522388057,-2.5820895522388065,2.7004513745335417,0.664557228155748
Vallorbe,5764,Yverdon,TRUE,progression,573,23,0.04013961605584642,996,82,0.0823293172690763,0.04218970121322988,2.0510738606600314,47.174698795180724,59,34.825301204819276,24.17469879518072,-0.44009555190551314,0.4183676920352961
Vaulion,5765,Yverdon,TRUE,stable,138,9,0.06521739130434782,209,12,0.05741626794258373,-0.007801123361764091,0.8803827751196173,7.9234449760765555,3,4.076555023923445,-1.0765550239234445,-0.8764367846845063,0.5242334298623057
Villars-Epeney,5935,Yverdon,TRUE,progression,23,1,0.043478260869565216,44,3,0.06818181818181818,0.02470355731225296,1.5681818181818181,1.5681818181818181,2,1.4318181818181817,0.5681818181818181,-1.660821156935351,0.5821514376501589
Vugelles-La Mothe,5937,Yverdon,TRUE,recul,38,2,0.05263157894736842,47,1,0.02127659574468085,-0.031354983202687564,0.4042553191489362,0.8085106382978723,-1,0.19148936170212766,-1.1914893617021274,-1.8003226153065564,0.5250797448165869
Vuiteboeuf,5766,Yverdon,TRUE,recul,115,8,0.06956521739130435,219,13,0.0593607305936073,-0.010204486797697046,0.853310502283105,6.82648401826484,5,6.173515981735159,-1.1735159817351604,0.3524705032295023,0.4771293853311082
Yverdon-les-Bains,5938,Yverdon,TRUE,stable,4321,408,0.09442258736403611,6711,568,0.08463716286693489,-0.009785424497101222,0.8963656390882981,365.71718074802567,160,202.2828192519744,-42.28281925197438,3.775520017692616,0.434390875764796
Yvonand,5939,Yverdon,TRUE,recul,768,61,0.07942708333333333,1215,73,0.060082304526748974,-0.019344778806584355,0.7564460635498887,46.14320987654321,12,26.85679012345679,-14.856790123456785,1.6565406899255617,0.48779836043743446
Cheseaux-sur-Lausanne,5582,Romanel,TRUE,progression,812,10,0.012315270935960592,1442,90,0.06241331484049931,0.05009804390453872,5.067961165048543,50.679611650485434,80,39.320388349514566,40.67961165048544,1.5902293490890032,0.5121978085210612
Epalinges,5584,Romanel,TRUE,progression,2033,27,0.013280865715691098,2996,157,0.05240320427236315,0.03912233855667205,3.9457671957671954,106.53571428571428,130,50.46428571428571,79.53571428571428,2.1277037495467352,0.5715720454439601
Jouxtens-Mézery,5585,Romanel,TRUE,progression,382,7,0.01832460732984293,644,23,0.03571428571428571,0.017389678384442782,1.9489795918367347,13.642857142857142,16,9.357142857142856,6.642857142857142,0.21930389725662486,0.6683595484481288
Lausanne,5586,Lausanne-Ville,TRUE,progression,18616,2310,0.1240868070477009,32431,5001,0.1542043106903888,0.030117503642687907,1.242713180871116,2870.667447812278,2691,2130.3325521877214,560.667447812278,7.643748974969288,0.46666712242980857
