Communes,code_ofs,district_electoral,dim1,dim1_acp,dim2_acp,dim3_acp,effectif,liste_eag_2022,part_eag_2022,part_gauche_2022,part_ps_verts,raboud_voix,part_raboud_2026,tendance_raboud,particip_moy,part_eag_cc,ecart,levier,part_manquante,voix_quorum,voix_siege,statut_district,marge_ecart,marge_raboud,marge_reservoir,marge_progression,source_marge,potentiel_commune,potentiel_district,score_district,score_priorite,score_marge,part_score_district,voix_a_trouver,voix_quorum_commune,profil,cluster,type_electorat,message_cle
Corcelles-le-Jorat,5785,Broye-Vully,-1.1846073047013927,-1.1846073047013927,-1.2047604418506472,0.5018244676245627,154,FALSE,0,0.2012987012987013,0.2012987012987013,7,0.03664921465968586,0.03664921465968586,0.5664965535524921,NA,NA,0.002188183807439825,0.06194090539441583,369,457,offensive,NA,0.03664921465968586,0.020129870129870133,0.03664921465968586,raboud_2026,5.643979057591623,378.47248309332974,0.8281673590663671,0.012350063583351473,0.08019521807371086,0.014912521543078315,7,6,implantation,1,5. Droite,"Terrain difficile — présence, visibilité, et d'abord déposer une liste"
Corcelles-près-Payerne,5816,Broye-Vully,-3.046913375453423,-3.046913375453423,-1.3512939798874841,0.08774509062007699,542,FALSE,0,0.1992619926199262,0.1992619926199262,38,0.050870147255689425,0.050870147255689425,0.4875381617577917,NA,NA,0.002188183807439825,0.06194090539441583,369,457,offensive,NA,0.050870147255689425,0.01992619926199262,0.050870147255689425,raboud_2026,27.57161981258367,378.47248309332974,0.8281673590663671,0.06033177201878265,0.11131323250697904,0.07284973424550029,34,27,persuasion,1,5. Droite,"Terrain difficile — présence, visibilité, et d'abord déposer une liste"
Cudrefin,5456,Broye-Vully,-0.9533911775174966,-0.9533911775174966,-0.3417699980573933,-0.7782528957453746,290,FALSE,0,0.3103448275862069,0.3103448275862069,29,0.04393939393939394,0.04393939393939394,0.4709423152044959,NA,NA,0.002188183807439825,0.06194090539441583,369,457,offensive,NA,0.04393939393939394,0.031034482758620693,0.04393939393939394,raboud_2026,12.742424242424242,378.47248309332974,0.8281673590663671,0.027882766394801403,0.0961474703269014,0.03366803350742414,16,13,report_gauche,1,5. Droite,"Terrain difficile — présence, visibilité, et d'abord déposer une liste"
Curtilles,5669,Broye-Vully,0.41061529764896126,0.41061529764896126,-0.6493428905090068,-0.7600717218373003,81,FALSE,0,0.4074074074074074,0.4074074074074074,5,0.047619047619047616,0.047619047619047616,0.5543814177779992,NA,NA,0.002188183807439825,0.06194090539441583,369,457,offensive,NA,0.047619047619047616,0.040740740740740744,0.047619047619047616,raboud_2026,3.8571428571428568,378.47248309332974,0.8281673590663671,0.00844013754298218,0.10419922892570595,0.010191342909840294,5,4,persuasion,4,1. Gauche marquée mobilisé,Gauche implantée où EàG a déjà fait ses preuves — incarner et consolider
Dompierre VD,5671,Broye-Vully,-2.9930675801359,-2.9930675801359,-1.5307055282972155,-1.4048280328926297,77,FALSE,0,0.24675324675324675,0.24675324675324675,6,0.05714285714285714,0.05714285714285714,0.6010530118875992,NA,NA,0.002188183807439825,0.06194090539441583,369,457,offensive,NA,0.05714285714285714,0.024675324675324677,0.05714285714285714,raboud_2026,4.3999999999999995,378.47248309332974,0.8281673590663671,0.009628008752735229,0.12503907471084713,0.011625680060114113,6,5,persuasion,1,5. Droite,"Terrain difficile — présence, visibilité, et d'abord déposer une liste"
Faoug,5458,Broye-Vully,-0.3571523132075901,-0.3571523132075901,0.5808935552184279,-0.527885464061683,114,FALSE,0,0.39473684210526316,0.39473684210526316,16,0.0642570281124498,0.0642570281124498,0.43147313269843546,NA,NA,0.002188183807439825,0.06194090539441583,369,457,offensive,NA,0.0642570281124498,0.03947368421052632,0.0642570281124498,raboud_2026,7.325301204819277,378.47248309332974,0.8281673590663671,0.01602910548100498,0.14060618842986825,0.019354910943453946,9,8,persuasion,5,2. Gauche marquée abstentionniste,Électorat acquis qui ne se déplace pas — priorité absolue au « faire voter »
Grandcour,5817,Broye-Vully,-0.6052574022396634,-0.6052574022396634,1.6797090203009108,-1.1510292255191514,198,FALSE,0,0.2222222222222222,0.2222222222222222,17,0.05345911949685535,0.05345911949685535,0.4657065619483191,NA,NA,0.002188183807439825,0.06194090539441583,369,457,offensive,NA,0.05345911949685535,0.022222222222222223,0.05345911949685535,raboud_2026,10.584905660377359,378.47248309332974,0.8281673590663671,0.02316171916931588,0.11697837964300951,0.027967437880463204,13,11,persuasion,2,3. Centre mobilisé,Commune disputée où EàG perce déjà — porte-à-porte et présence publique
Henniez,5819,Broye-Vully,-1.7404418406840474,-1.7404418406840474,-1.6713612298919878,0.6201143456434026,46,FALSE,0,0.17391304347826086,0.17391304347826086,7,0.07,0.07,0.37920199922555736,NA,NA,0.002188183807439825,0.06194090539441583,369,457,offensive,NA,0.07,0.017391304347826087,0.07,raboud_2026,3.22,378.47248309332974,0.8281673590663671,0.007045951859956236,0.15317286652078774,0.008507884043992603,4,4,persuasion,1,5. Droite,"Terrain difficile — présence, visibilité, et d'abord déposer une liste"
Hermenches,5673,Broye-Vully,-3.915555484691521,-3.915555484691521,-1.6398870777766552,1.2421353313894892,93,FALSE,0,0.1827956989247312,0.1827956989247312,4,0.026490066225165563,0.026490066225165563,0.5339477402033629,NA,NA,0.002188183807439825,0.06194090539441583,369,457,offensive,NA,0.026490066225165563,0.01827956989247312,0.026490066225165563,raboud_2026,2.4635761589403975,378.47248309332974,0.8281673590663671,0.005390757459388178,0.05796513397191589,0.006509260960810432,3,3,implantation,3,4. Centre,"Commune disputée, réservoir réel — thèmes sociaux concrets, pas d'étiquette"
Lovatens,5674,Broye-Vully,3.8205852154544897,3.8205852154544897,-1.9498330113045157,-2.1030843899656406,37,FALSE,0,0.3783783783783784,0.3783783783783784,7,0.10294117647058823,0.10294117647058823,0.5243006993006993,NA,NA,0.002188183807439825,0.06194090539441583,369,457,offensive,NA,0.10294117647058823,0.03783783783783784,0.10294117647058823,raboud_2026,3.8088235294117645,378.47248309332974,0.8281673590663671,0.008334405972454627,0.22525421547174665,0.010063673581449049,5,4,mobilisation,4,1. Gauche marquée mobilisé,Gauche implantée où EàG a déjà fait ses preuves — incarner et consolider
