votation,date,positionnement_politique_oui,district,Communes,code_ofs,Electeurs_inscrits,Bulletins_rentres,Blancs,Nuls,Valables,OUI,OUI_perc,NON,NON_perc,particip_perc
gc_2022_droite-bourgeoise,20.03.22,droite,La Vallée,Le Chenit,5872,,971,0,0,971,399,41.09165808444902,572,58.90834191555098,
gc_2022_centre,20.03.22,centre,La Vallée,Le Chenit,5872,,971,0,0,971,32,3.2955715756951593,939,96.70442842430485,
gc_2022_verts,20.03.22,centre-gauche,La Vallée,Le Chenit,5872,,971,0,0,971,94,9.680741503604532,877,90.31925849639548,
gc_2022_PS,20.03.22,centre-gauche,La Vallée,Le Lieu,5873,,280,0,0,280,81,28.92857142857143,199,71.07142857142857,
gc_2022_Gauche,20.03.22,gauche,La Vallée,Le Lieu,5873,,280,0,0,280,0,0,280,100,
gc_2022_extreme-droite,20.03.22,extreme-droite,La Vallée,Le Lieu,5873,,280,0,0,280,23,8.214285714285714,257,91.78571428571428,
gc_2022_droite-bourgeoise,20.03.22,droite,La Vallée,Le Lieu,5873,,280,0,0,280,129,46.07142857142857,151,53.92857142857142,
gc_2022_centre,20.03.22,centre,La Vallée,Le Lieu,5873,,280,0,0,280,8,2.857142857142857,272,97.14285714285714,
gc_2022_verts,20.03.22,centre-gauche,La Vallée,Le Lieu,5873,,280,0,0,280,40,14.285714285714285,240,85.71428571428571,
gc_2022_PS,20.03.22,centre-gauche,Yverdon,Bonvillars,5551,,132,0,0,132,13,9.848484848484848,119,90.15151515151516,
gc_2022_Gauche,20.03.22,gauche,Yverdon,Bonvillars,5551,,132,0,0,132,7,5.303030303030303,125,94.6969696969697,
gc_2022_extreme-droite,20.03.22,extreme-droite,Yverdon,Bonvillars,5551,,132,0,0,132,33,25,99,75,
gc_2022_droite-bourgeoise,20.03.22,droite,Yverdon,Bonvillars,5551,,132,0,0,132,51,38.63636363636363,81,61.36363636363637,
gc_2022_centre,20.03.22,centre,Yverdon,Bonvillars,5551,,132,0,0,132,11,8.333333333333332,121,91.66666666666666,
gc_2022_verts,20.03.22,centre-gauche,Yverdon,Bonvillars,5551,,132,0,0,132,16,12.121212121212121,116,87.87878787878788,
gc_2022_PS,20.03.22,centre-gauche,Yverdon,Bullet,5552,,211,0,0,211,44,20.85308056872038,167,79.14691943127961,
gc_2022_Gauche,20.03.22,gauche,Yverdon,Bullet,5552,,211,0,0,211,8,3.7914691943127963,203,96.2085308056872,
gc_2022_extreme-droite,20.03.22,extreme-droite,Yverdon,Bullet,5552,,211,0,0,211,57,27.014218009478675,154,72.98578199052133,
gc_2022_droite-bourgeoise,20.03.22,droite,Yverdon,Bullet,5552,,211,0,0,211,77,36.492890995260666,134,63.507109004739334,
gc_2022_centre,20.03.22,centre,Yverdon,Bullet,5552,,211,0,0,211,13,6.161137440758294,198,93.8388625592417,
gc_2022_verts,20.03.22,centre-gauche,Yverdon,Bullet,5552,,211,0,0,211,13,6.161137440758294,198,93.8388625592417,
gc_2022_PS,20.03.22,centre-gauche,Yverdon,Champagne,5553,,205,0,0,205,26,12.682926829268293,179,87.3170731707317,
gc_2022_Gauche,20.03.22,gauche,Yverdon,Champagne,5553,,205,0,0,205,20,9.75609756097561,185,90.2439024390244,
gc_2022_extreme-droite,20.03.22,extreme-droite,Yverdon,Champagne,5553,,205,0,0,205,41,20,164,80,
gc_2022_droite-bourgeoise,20.03.22,droite,Yverdon,Champagne,5553,,205,0,0,205,67,32.6829268292683,138,67.31707317073172,
gc_2022_centre,20.03.22,centre,Yverdon,Champagne,5553,,205,0,0,205,20,9.75609756097561,185,90.2439024390244,
gc_2022_verts,20.03.22,centre-gauche,Yverdon,Champagne,5553,,205,0,0,205,31,15.121951219512194,174,84.8780487804878,
gc_2022_PS,20.03.22,centre-gauche,Yverdon,Concise,5554,,244,0,0,244,38,15.573770491803279,206,84.42622950819673,
gc_2022_Gauche,20.03.22,gauche,Yverdon,Concise,5554,,244,0,0,244,21,8.60655737704918,223,91.39344262295081,
gc_2022_extreme-droite,20.03.22,extreme-droite,Yverdon,Concise,5554,,244,0,0,244,40,16.39344262295082,204,83.60655737704919,
gc_2022_droite-bourgeoise,20.03.22,droite,Yverdon,Concise,5554,,244,0,0,244,105,43.0327868852459,139,56.9672131147541,
gc_2022_centre,20.03.22,centre,Yverdon,Concise,5554,,244,0,0,244,14,5.737704918032787,230,94.26229508196722,
gc_2022_verts,20.03.22,centre-gauche,Yverdon,Concise,5554,,244,0,0,244,25,10.245901639344263,219,89.75409836065575,
gc_2022_PS,20.03.22,centre-gauche,Yverdon,Corcelles-près-Concise,5555,,89,0,0,89,17,19.101123595505616,72,80.89887640449437,
gc_2022_Gauche,20.03.22,gauche,Yverdon,Corcelles-près-Concise,5555,,89,0,0,89,6,6.741573033707865,83,93.25842696629213,
gc_2022_extreme-droite,20.03.22,extreme-droite,Yverdon,Corcelles-près-Concise,5555,,89,0,0,89,21,23.595505617977526,68,76.40449438202246,
gc_2022_droite-bourgeoise,20.03.22,droite,Yverdon,Corcelles-près-Concise,5555,,89,0,0,89,26,29.213483146067414,63,70.78651685393258,
gc_2022_centre,20.03.22,centre,Yverdon,Corcelles-près-Concise,5555,,89,0,0,89,7,7.865168539325842,82,92.13483146067416,
gc_2022_verts,20.03.22,centre-gauche,Yverdon,Corcelles-près-Concise,5555,,89,0,0,89,13,14.606741573033707,76,85.39325842696628,
