votation,date,positionnement_politique_oui,district,Communes,code_ofs,Electeurs_inscrits,Bulletins_rentres,Blancs,Nuls,Valables,OUI,OUI_perc,NON,NON_perc,particip_perc
salaire_min_legis_sub,14.06.26,gauche,Morges,Mont-la-Ville,5491,337,165,11,0,154,62,40.26%,92,59.74%,48.96%
salaire_min_legis,14.06.26,gauche,Morges,Montricher,5492,649,393,0,4,381,139,36.48%,242,63.52%,60.55%
salaire_min_legis_cp,14.06.26,droite,Morges,Montricher,5492,649,393,5,4,376,230,61.17%,146,38.83%,60.55%
salaire_min_legis_sub,14.06.26,gauche,Morges,Montricher,5492,649,393,11,4,370,138,37.30%,232,62.70%,60.55%
salaire_min_legis,14.06.26,gauche,Morges,Morges,5642,9220,5179,70,5,4825,2516,52.15%,2309,47.85%,56.17%
salaire_min_legis_cp,14.06.26,droite,Morges,Morges,5642,9220,5179,101,5,4794,2265,47.25%,2529,52.75%,56.17%
salaire_min_legis_sub,14.06.26,gauche,Morges,Morges,5642,9220,5179,177,5,4718,2378,50.40%,2340,49.60%,56.17%
salaire_min_legis,14.06.26,gauche,Morges,Orny,5493,342,188,4,1,183,94,51.37%,89,48.63%,54.97%
salaire_min_legis_cp,14.06.26,droite,Morges,Orny,5493,342,188,7,1,180,85,47.22%,95,52.78%,54.97%
salaire_min_legis_sub,14.06.26,gauche,Morges,Orny,5493,342,188,6,1,181,86,47.51%,95,52.49%,54.97%
salaire_min_legis,14.06.26,gauche,Morges,Pompaples,5497,526,291,6,0,262,105,40.08%,157,59.92%,55.32%
salaire_min_legis_cp,14.06.26,droite,Morges,Pompaples,5497,526,291,6,0,262,142,54.20%,120,45.80%,55.32%
salaire_min_legis_sub,14.06.26,gauche,Morges,Pompaples,5497,526,291,15,0,253,99,39.13%,154,60.87%,55.32%
salaire_min_legis,14.06.26,gauche,Morges,Préverenges,5643,2952,1683,30,7,1536,789,51.37%,747,48.63%,57.01%
salaire_min_legis_cp,14.06.26,droite,Morges,Préverenges,5643,2952,1683,34,7,1532,760,49.61%,772,50.39%,57.01%
salaire_min_legis_sub,14.06.26,gauche,Morges,Préverenges,5643,2952,1683,59,7,1507,709,47.05%,798,52.95%,57.01%
salaire_min_legis,14.06.26,gauche,Morges,Romanel-sur-Morges,5645,318,192,9,0,183,76,41.53%,107,58.47%,60.38%
salaire_min_legis_cp,14.06.26,droite,Morges,Romanel-sur-Morges,5645,318,192,9,0,183,100,54.64%,83,45.36%,60.38%
salaire_min_legis_sub,14.06.26,gauche,Morges,Romanel-sur-Morges,5645,318,192,17,0,175,66,37.71%,109,62.29%,60.38%
salaire_min_legis,14.06.26,gauche,Morges,Saint-Livres,5435,480,287,9,0,278,108,38.85%,170,61.15%,59.79%
salaire_min_legis_cp,14.06.26,droite,Morges,Saint-Livres,5435,480,287,16,0,271,159,58.67%,112,41.33%,59.79%
salaire_min_legis_sub,14.06.26,gauche,Morges,Saint-Livres,5435,480,287,23,0,264,94,35.61%,170,64.39%,59.79%
salaire_min_legis,14.06.26,gauche,Morges,Saint-Oyens,5436,286,183,1,0,171,88,51.46%,83,48.54%,63.99%
salaire_min_legis_cp,14.06.26,droite,Morges,Saint-Oyens,5436,286,183,3,0,169,84,49.70%,85,50.30%,63.99%
