Code;Libellé;Potentiel de consommation équivalent: P40 2022;Taux d'aide sociale 2025;Potentiel de consommation équivalent: P20 2022;Potentiel de consommation équivalent: P60 2022;Potentiel de consommation équivalent: P80 2022;Potentiel de consommation équivalent: médiane 2022;Emplois EPT, tous secteurs 2023;Emplois EPT dans le secteur primaire 2023;Emplois EPT dans le secteur secondaire 2023;Emplois EPT dans le secteur tertiaire 2023
5643;Préverenges;58800;1.75;44500;76800;110600;67000;1400;10;345;1045
5645;Romanel-sur-Morges;68800;0.89;52300;94500;121700;78600;454;14;251;188
5646;Saint-Prex;62400;1.7;45700;83800;124400;71000;2580;44;1214;1323
5648;Saint-Sulpice;78000;0.54;54000;108000;158200;91700;1392;N/A - secret statistique;356;1036
5649;Tolochenaz;58200;2.27;40900;76400;116700;65500;2297;9;800;1489
5650;Vaux-sur-Morges;70500;0.38;52100;93100;142600;81000;61;13;N/A - secret statistique;48
5651;Villars-Sainte-Croix;69300;1.61;54000;84800;106700;76400;1325;5;595;724
5652;Villars-sous-Yens;63600;1.6;44100;88600;113200;74800;62;28;4;30
5653;Vufflens-le-Château;91100;0.08;68600;123800;187800;106900;121;33;4;84
5654;Vullierens;66100;0.75;49800;85900;114300;73600;112;31;38;42
5655;Yens;74000;1.12;56000;100400;144400;86700;340;72;107;160
5656;Hautemorges;62700;0.95;48400;81000;109800;70600;879;162;179;539
5661;Boulens;56100;0.11;48500;71600;92700;64700;45;10;26;9
5663;Bussy-sur-Moudon;56900;0.66;47300;64300;89300;59800;25;7;15;N/A - secret statistique
5665;Chavannes-sur-Moudon;61200;0;43500;77500;102800;70500;39;30;N/A - secret statistique;5
5669;Curtilles;56800;1.09;42800;65600;85600;60300;42;16;9;17
5671;Dompierre;49800;1.89;34000;57600;93300;52500;32;14;10;7
5673;Hermenches;62200;1.19;45100;75500;93700;66100;38;15;N/A - secret statistique;20
5674;Lovatens;56500;0.35;46400;72000;93900;62900;20;14;N/A - secret statistique;6
5675;Lucens;44300;6.64;34000;54300;70200;48700;835;53;349;433
5678;Moudon;41300;6.8;33000;50300;66100;45800;2295;38;614;1643
5680;Ogens;57800;0.47;46500;69200;87200;60400;68;10;39;19
5683;Prévonloup;51400;1.15;39700;64000;81700;57000;23;11;6;6
5684;Rossenges;50200;0.28;35000;63300;74400;55700;6;N/A - secret statistique;0;N/A - secret statistique
5688;Syens;56700;1.37;36300;67700;89700;63300;18;N/A - secret statistique;10;5
5690;Villars-le-Comte;53300;0;46400;62600;89500;58700;17;9;N/A - secret statistique;7
5692;Vucherens;59700;0.9;47100;69800;92500;67000;131;10;6;115
5693;Montanaire;54000;2.26;43400;65800;85400;60500;542;126;146;270
5701;Arnex-sur-Nyon;69900;0;45700;91400;148900;81800;25;7;4;14
